email,name,profile_score,ratings_score,search_score
user5363@verizon.net,"Tessa L.",0.96,2.50,2.46
user3864@yahoo.com,"Angie S.",1.15,2.40,2.40
user7903@hotmail.com,"Faridah D.",1.15,4.60,2.40
user5598@hotmail.com,"Gayle P.",1.15,3.40,2.40
user7784@hotmail.com,"Shellie C.",1.15,1.80,2.40
user6217@gmail.com,"William P.",1.15,3.20,2.40
user8656@yahoo.com,"Anna Marie W.",1.35,2.75,2.35
user7759@hotmail.com,"Jennifer W.",1.35,3.00,2.35
user6407@t-mobile.com,"Kandace L.",1.35,2.50,2.35
user5082@t-mobile.com,"Samantha O.",1.35,2.50,2.35
user3341@gmail.com,"Stephen W.",1.35,2.75,2.35
user2644@hotmail.com,"Sylvia W.",1.35,3.25,2.35
user2683@hotmail.com,"Herlina S.",1.54,2.00,2.29
user9921@t-mobile.com,"Kimberly K.",1.54,2.33,2.29
user5398@verizon.net,"Derek K.",0.77,4.00,2.27
user7287@hotmail.com,"Caroline M.",1.73,2.00,2.23
user3091@yahoo.com,"Matthew Ryan H.",1.73,1.50,2.23
user1943@verizon.net,"Joei B.",0.96,4.00,2.21
user7442@verizon.net,"Leah S.",0.96,3.40,2.21
user1349@hotmail.com,"Magali M.",0.96,3.20,2.21
user8249@yahoo.com,"Reagan N.",0.96,3.20,2.21
user6074@t-mobile.com,"Tony L.",0.96,3.40,2.21
user6702@hotmail.com,"Jordan  R.",1.15,3.25,2.15
user4846@hotmail.com,"Sandy O.",1.15,3.50,2.15
user7582@yahoo.com,"Sharon H.",1.15,2.75,2.15
user1842@hotmail.com,"Christa A.",1.35,3.33,2.10
user9612@t-mobile.com,"Danielle W.",1.35,2.33,2.10
user8248@t-mobile.com,"Maureen  B.",1.35,2.67,2.10
user5322@t-mobile.com,"Lindsay H.",1.54,3.50,2.04
user7112@verizon.net,"Anne D.",0.77,2.20,2.02
user9973@hotmail.com,"Gwen G.",0.77,3.80,2.02
user7938@verizon.net,"Aksana B.",0.96,3.75,1.96
user7345@verizon.net,"Carl P.",0.96,3.50,1.96
user9271@yahoo.com,"Cooper P.",0.96,2.75,1.96
user4051@gmail.com,"Dina L.",0.96,3.25,1.96
user9792@hotmail.com,"Nancy O.",0.96,3.25,1.96
user3251@yahoo.com,"Robin R.",0.96,4.25,1.96
user1690@verizon.net,"Kevin H.",1.15,3.67,1.90
user7851@hotmail.com,"Rachel  R.",1.15,4.00,1.90
user4215@hotmail.com,"Vanessa B.",1.15,3.00,1.90
user3123@t-mobile.com,"Hilary S.",1.35,2.50,1.85
user9371@hotmail.com,"Kristy B.",1.35,1.00,1.85
user1945@yahoo.com,"Ali P.",0.77,2.00,1.77
user5760@yahoo.com,"Mary A.",0.77,2.50,1.77
user3489@yahoo.com,"Conor H.",0.96,2.33,1.71
user7736@t-mobile.com,"Jenny S.",0.96,4.00,1.71
user2655@verizon.net,"Nancy B.",0.96,3.00,1.71
user7137@yahoo.com,"Tasha J.",0.96,1.67,1.71
user5707@yahoo.com,"Gaurang P.",1.15,1.50,1.65
user2537@hotmail.com,"Marita C.",1.15,3.00,1.65
user3695@yahoo.com,"Megan B.",1.15,2.00,1.65
user1969@hotmail.com,"Shaina Z.",1.15,4.50,1.65
user2738@t-mobile.com,"Anne B.",0.77,2.00,1.52
user7540@verizon.net,"Ben F.",0.77,3.33,1.52
user5253@hotmail.com,"Wanda C.",0.96,1.50,1.46
user5411@hotmail.com,"Mahgul U.",1.15,3.00,1.40
user6954@verizon.net,"BOB M.",0.58,2.00,1.08
